LANGUAGE=ESPERANTO
absolute;absolutely
abundo;plenty, abundance
aĉeti;to buy *achèter (fr)
administri;to manage, to administer
admiri;to admire
advokato;lawyer, advocate
aero;air
afabla;kind, affable
afero;affair, matter, thing
agento;agent
agi;to act
agnoski;to acknowledge, to admit, to recognise
ago;action, act *ago = action, aĝo = age
aĝo;age *ago = action, aĝo = age
agrabla;pleasant, agreeable, enjoyable, lovely, nice
aĵoj;stuff, things
akcepti;to accept
akcidento;accident
akiri;to get, to obtain *acquire
akompani;to accompany
akordi;to accord
akra;sharp *acrid
aktiveco;activity
akuzi;to accuse
akuzo;accusation, charge
akvo;water *aqua
al;to, toward, towards *à (fr)
alarmo;alarm
aldoni;to add
alia;another, other
aliaj;others
alie;else, otherwise
aliĝi;to join *ligament
aliri;to approach *aliri = approach, alveni = arrive
alparoli;to address
alporti;to bring
alta;high, tall *altitude
alteco;height
altiri;to attract *al (to) + tiri (pull)
aludo;hint *allude
alveni;to arrive *aliri = approach, alveni = arrive
alveno;arrival *alveni = to arrive
amantino;mistress, lover *amant (lover) + in (female) + o
amanto;lover *amo (love) + anto (agent)
amara;bitter *amer (fr)
amaso;crowd, pile *mass
ambaŭ;both *ambidextrous
ameriko;america
ami;to love *aimer (fr)
amika;friendly
amikeco;friendship
amiko;friend
amo;affection, love *amour
amuza;fun, funny, amusing
anĝelo;angel
angla;english *angleterre (fr)
anglujo;england
angulo;corner *angle
anheli;to gasp *anhéler (fr), inhale
animo;soul
ankaŭ;also, too *ankaŭ = also, antaŭ = ago
ankoraŭ;still, yet *encore
anonci;to announce
anstataŭe;instead
anstataŭigi;to replace *anstataŭe (instead) + igi (cause to be)
antaŭ;ago *ankaŭ = also, antaŭ = ago
antaŭa;previous
antaŭe;before *antaŭe = before, antaŭen = forward/ahead
antaŭen;ahead, forth, forward *antaŭe = before, antaŭen = forward/ahead
antaŭi;to advance
antikva;ancient *antique
aparta;particular
apartamento;apartment
aparte;apart
aparteni;to belong
apartigi;to separate, divide
apelacii;to appeal
apenaŭ;barely, hardly, scarcely *à peine (fr)
aperi;to appear
apero;appearance
apliki;to apply
aprilo;april
apud;beside
aranĝi;to arrange
aranĝo;arrangement
arbaro;forest *arbo (tree) + aro (collection)
arbo;tree *arbre (fr)
areo;area *remember aero = air, areo = area
arĝento;silver *argent
argumento;argument
armeo;army
armilo;weapon *armi (arm) + ilo (tool)
artikolo;article
artisto;artist *arto (art) + isto (person)
arto;art
asocii;to associate
aspekto;aspect
ataki;to attack
atako;attack
atendi;to expect, to wait *attendre (fr)
atento;attention
atestanto;witness
atingi;to reach *attain
aŭ;or
aŭdaci;to dare *audacity
aŭdi;to hear
aŭgusto;august
aŭskulti;to listen *auscultate
aŭto;car
aŭtobuso;bus
aŭtoritato;authority
aŭtoro;author
avantaĝo;advantage
aventuro;adventure
averti;to warn
averto;warning
avino;grandmother *avo (grandfather) + in (female) + o
avo;grandfather
balai;to sweep *balayer (fr)
balanci, balanciĝi;to swing *balancer (fr)
baldaŭ;soon *bald (de)
banĉambro;bathroom *bani (bathe) + ĉambro (room)
bando;band *remember bando = band, bendo = tape
banko;bank
barilo;fence *barrier
basketbalo;basketball
batalanto;warrior, fighter *batali (fight) + anto (agent)
batali;to fight *batallion
batalo;battle
bati;to beat, to hit *battre (fr)
bazo;base
bebo;baby *bebé (fr)
bedaŭri;to regret *bedauern (de)
beko;bill, beak
bela;beautiful, handsome, lovely, nice, pretty, rare *belle (fr)
beleco;beauty
bendo;tape *remember bando = band, bendo = tape
benko;bench
besto;animal, beast
bezoni;to need *besoin (fr)
biblioteko;library *biblioteque (fr)
bieno;farm, estate, property
