LANGUAGE=ESPERANTO
¡oh;oh
aĉeti;buy *acheter (fr)
aĉetinta;bought *acheter (fr)
aero;air
afabla;gentle, kind *affable
afero;matter, thing
aĝo;age
ajna;any
akiri;get, acquire *AQIRI
akiris;got, acquired *akiri (get) + is
akra;sharp *acrid
akto;act
aktuala;current
akvo;water *aqua
aldoni;add *al (to) + doni (give)
alia;else, another
aliaj;other
aliĝi;join *al (to) + iĝi (change of state)
almenaŭ;least *remember almenaŭ = least, plej = most
alporti;bring *apporter (fr)
alportis;brought
alta;high *altitude
altkreska;tall *alt (high) + kreski (to grow) 
alveni;arrive, reach *al (to) + veni (to come)
alvoko;call *invoke
amaso;crowd, mass, heap *mass
ambaŭ;both *ambidextrous
amiko;friend *ami
amuza;fun *amusing
anaso;duck
angulo;corner, angle
ankaŭ;also *anche (it)
ankoraŭ;still, yet
anonco;notice, announcement
anstataŭ;rather, stead
antaŭ;before *anterior
antaŭa;front *antaŭ (before) + a
antaŭen;forward *antaŭ = before
aparta;separate
aperi;appear
aranĝi;arrange
arbaro;forest *arbre (fr)
arbo;tree *arbre (fr)
arĝento;silver *argent
aro;set, whole
arto;art
atendi;expect, hope, wait *attendre (fr)
atomo;atom
aŭ;or
aŭdi;hear *audio
aŭdis;heard *aŭdi + is
aŭskulti;listen *auscultate
aŭto;car, self *automobile
aŭtoveturejo;track
baldaŭ;soon *bald (de)
bando;band
bastono;stick
baton;blow
baza;basic *remember a = adjective
bazo;base *remember o = noun
bebo;baby
bela;fair, pretty
beleco;beauty
besto;animal
bezonas;need *besoin (fr)
birdo;bird
blanka;white *blanc (fr)
bloko;block
blua;blue
bona;best, good
bonaj;good
bone;well *bon + e (adverb)
bonodoro;smell *bon-odoro = good odour
bonvolu;please
bordo;bank, shore
bovino;cow *bovine
brako;arm *bras (fr)
branĉo;branch *BRANCHO
brila;bright
briligi;shine
bruligi;burn *brûler (fr)
bruna;brown
bruo;noise *bruit (fr)
buŝo;mouth *bouche (fr)
butiko;shop
ĉambro;room *chamber
ĉapelo;hat *chapeau (fr)
ĉasi;hunt, chase *remember ĉasi = chase, ĉesi = cease
ĉe;at
ĉeestanta;present
ĉefa;main
ĉefe;especially, mainly
ĉefurbo;capital *ĉef (chief) + urbo (city/town)
ĉelo;cell
cendo;cent
cent;hundred
centro;center, centre
certaj;certain
certas;sure
ĉesi;stop, cease *remember ĉasi = chase, ĉesi = cease
ĉevalo;horse *cheval (fr)
ĉiam;always *ĉi (all/every prefix) + am (time suffix)
ĉielo;sky *ciel (fr)
cifero;figure
ĉik;chick
ĉiu;each, every
ĉiuj;all, everyone, everybody *ciu = each, every
colo;inch *remember colo (TSOLO) = inch, kolo = neck 
ĉu;either, whether *sounds like you have to CHOOse
danco;dance
danĝero;danger
dankon;thank *danke (de)
daŭrigi;continue
de;of *de (fr)
decidi;decide
dek;ten *deca
dekstra;right *dexterity
dekuma;decimal
demandas;wonder, ask *demander (fr)
demando;question *demander (fr)
demandu;ask *demander (fr)
denove;again
dentoj;teeth *dental
dependi;depend
desegni;draw *dessiner (fr)
determini;determine
devas;must
devus;should
dezajno;design
dezerto;desert
deziri;wish, desire
dikaj;thick
diras;say *dire (fr)
diris;said
diru;tell
disko;drive, disk
diskuti;discuss
diskuto;talk, discussion
disvastiĝo;spread *dis (separation) + vasta (vast) + iĝi (state of being) + o
divenu;guess *deviner (fr)
dividi;divide *remember i means verb
divido;division
dolaro;dollar
domo;house *domo = house, hejmo = home
doni;give *donner (fr)
donis;gave *donner (fr)
dormo;sleep *dormir (fr)
drato;wire *thread
du;two
dua;second *du = two
dudek;twenty
dum;during, while
duobla;double *du = two
duono;half *du = two
ebenaĵo;plain
ebeno;plane
ebla;possible
eble;perhaps, possibly *ebla (possible) + e
eĉ;even
edzino;wife *edzo = husband
efekto;effect *EFFECTO
egalaj;equal
egaleco;tie, equality
egaligas;equate
eĝo;edge
ekde;since *ek (beginning) + de (from)
eksciti;excite *EXCITI
eksperimento;experiment
ekstere;off *extinguish
ekzemplo;example *EXEMPLO
ekzerco;exercise
el;from, out
elekti;choose, select, elect
elektra;electric
elemento;element
elpensi;invent *el (out) + pensi (think)
elporti;bear
elprovi;prove
elspezi;spend *remember elspezi = spend (outgoing), enspezi = earn (incoming)
en;in
energion;energy
enhavi;contain *en (in) + havi (to have)
eniri;enter
eniris;went, entered
ensaluti;log in *en (in) + saluti (greet / log in)
enspezi;raise, earn
entute;total
estas;am, are, is
esti;be *être (fr)
estintaj;been
estinteco;past *estina + eco (quality of)
estis;was, were
estro;chief, leader, head, boss
eta;tiny
evidenta;clear
evoluigi;develop *evolution
faciligi;ease *facile (fr)
fajna;fine
fajro;fire
fakto;fact
fali;fall
faligi;drop *fali = fall
falis;fell *fali = fall
famaj;famous
familio;family
faras;does, do
fari;do, make *faire (fr)
faris;did, made *fari (do/make) + is (past tense)
farita;done *fari = do/make
farus;would *fari = do/make
favorus;favor, favour
feliĉa;happy
fenestro;window *fenêtre (fr)
fermi;close *fermer (fr)
fero;iron
fervoja;rail, railway *lit. iron way
festo;party *festival
figo;fig
filo;son *fils (fr)
fingro;finger
fini;finish
fino;end *fin (fr)
fiŝo;fish
flanko;side *flank
flava;yellow
floro;flower
fluas;flow
flugilo;wing *flugi (fly) ilo (tool)
fluo;stream
forlasi;leave
formo;form, shape
forta;strong *fort (fr)
forto;force, strength *fort (fr)
foton;picture, photo
frakcio;fraction
fratino;sister *frère (fr) in = female
frato;brother *frère (fr)
frazo;phrase *PHRAZO
freŝa;fresh
frua;early *früh (de)
fruktoj;fruit
funkcii;operate *function
funto;pound *pfund (de)
ĝardeno;garden *jardin (fr)
gaso;gas
gazetaro;press *gazette
ĝenerale;general
gepatro;parent *ge (both sexes) + patro (father)
ĝi;it
ĝis;until *jusque (fr)
glacio;ice *glacier
ĝojas;glad
ĝojo;joy *JOYo
grado;degree, grade *grade
grafikaĵo;chart, graph
grajnoj;corn *grain
granda;big, great, large, major
grandeco;size
grandega;huge
grandioza;grand
graso;fat *gras (fr)
gravulo;character
grimpo;climb
grizaj;gray, grey *gris (fr)
grupo;group *GROUPO
ĝusta;correct, exact
gvidi;guide
haroj;hair
haŭto;skin *hide
havas;has, have *havi + as
havis;had *havi + is
havos;have
hejmo;home *domo = house, hejmo = home
helpi;help
herbo;grass *herb
historio;history
homa;human *hominid
homoj;people
horloĝo;clock *horloge (fr)
horo;hour
hundo;dog *hound
iam;ever *remember iam = ever, iom = bit/little
ideon;idea
ili;they
iliaj;their *ili = they
ilin;them *ili (they) + n (accusative)
ilo;tool *used as a suffix too
imagu;imagine
indiki;indicate
industrio;industry
infano;child *infant
infanoj;children *infants
inkluzivi;include
insekto;insect
instrumento;instrument
instruos;teach *instruct
insulo;island
inter;among, between
intereso;interest
interkonsenti;agree
interkonsento;deal, agreement
interpunkcio;score
iom;bit, little *remember iam = ever, iom = bit/little
iri;go
iritaj;gone *iri = go
iuj;some
jarcento;century *year 100
jardo;yard
jaro;year
jes;yes
ĵeti;throw *jeter (fr)
junulo;young
kaj;and
kalkuli;count *calculate
kamiono;truck
kampo;field *champ (fr)
kanti;sing *canton
kanto;song *canton
kapitano;captain *CAPITANO
kapo;head
kaptita;caught
kara;dear
karto;card
kato;cat
kaŭzo;cause *CAUSO
ke;that
kial;why
kialo;reason *kial = why
kiam;when *A.M. is a time
kie;where *wherE ends in an E
kiel;an, as, like *remember kial = why, kiel = an/as/like
kies;whose
kio;what, which *o = noun
kiom;how *om = quantity
kiu;who *u = individuals
klaso;class
knabino;girl
knabo;boy
kolekti;collect, gather
kolero;anger *colère (fr)
kolo;neck *collar
kolonio;colony
kolono;column
koloro;color, colour *kolero = anger, koloro = colour
komenci;begin, start *commence
komencis;began, started *commence
komenco;start *commence
komerco;trade *commerce
kompanio;company
kompari;compare
kompleta;complete
kompreneble;course, understandably
komunaj;common
kondamno;sentence *condemn
kondiĉo;condition
konduki;lead *conductor
kondukis;led *conductor
konekti;connect
konko;shell *conch
konservi;keep, conserve
konservis;kept, conserved
konsideri;consider
konsonanto;consonant
konstrui;build, construct
kontinento;continent
kontraŭ;against
kontraŭa;opposite *kontraŭ = against
kontroli;check
kontrolo;control
kopio;copy
kordo;string *cord
koro;heart *cœur (fr)
korpo;body *corps (fr)
kosto;cost
kostumo;suit, costume
kotono;cotton
kovrilo;cover *ilo = tool
kredas;believe *croire (fr)
krei;create
kreski;grow
kreskis;grew
krio;cry, shout *CRYO
krom;except
kropo;crop *CROPO
kruĉo;jug, pot *remember kruro = leg
kruro;leg
kuiristino;cook
kun;with
kune;together *kun = with
kunvenas;meet
kuracisto;doctor *lit. cure professional
kuris;ran *courir (fr)
kuŝis;lay
kutima;usual *custom
kvadrata;square *quadrilateral
kvankam;though
kvar;four *kvar = 4 kvin = 5
kvarto;quart *kvar = 4
kvin;five *kvar = 4 kvin = 5
kvociento;quotient
la;the
laboro;job, work
lago;lake
lakto;milk *lactose
lando;country, land *land
larĝa;broad, wide *large
lasta;final, last *last
lasu;let
laŭta;loud
lavita;wash *lavatory
legi;read
leĝo;law *legislation
lernantino;student *learner female
lernejo;school *learning place
lerni;learn
lerto;skill
letero;letter
leviĝis;rose *levitate
li;he, him
libro;book *library
ligno;wood *remember line = linio
likva;liquid
lingvo;language
linio;line
literumi;spell
lito;bed *lit (fr)
lokalizi;locate, localise
loko;place, location
longa;long
longo;length *long noun
ludo;game
ludos;play *ludi = to play
lukto;fight
luno;moon *lune (fr)
magneto;magnet
majstro;master *maestro
malalta;low *alta = high
malamiko;enemy *amiko = friend
malantaŭ;behind *antaŭ = before
malbona;bad *bona = good
malbrua;silent *opposite of noise
maldekstra;left *opposite of right
maldika;thin *opposite of thick
malfacila;difficult, hard *opposite of easy
malfelicxo;trouble
malfermita;open *opposite of closed
