LANGUAGE=ESPERANTO
abako;abacus
abatejo;abbey
abato;abbot
abceso;abscess
abdiki;to abdicate, resign
abdiko;abdication
abdomeno;abdomen
abduktoro;abductor
abelejo;apiary
abelisto;bee-keeper
abelkulturo;bee-keeping
abelo;bee
abelujo;beehive, bee-hive
abelvakso;beeswax
aberacii;to deviate
aberacio;aberration
abia;deal
abio;fir
abiogenezo;abiogenesis
abismo;abyss, chasm
abiturienta diplomo;leaving-certificate
abĵuri;to abjure, abnegate
abĵuro;abjuration
ablativo;ablative
abnorma;abnormal
abnormaĵo;abnormality, abnormity
abnormeco;abnormality, abnormity
aboli;to abolish, abrogate
abolicii;to abolish, abrogate
abolicio;abolition, abrogation
abolo;abolition, abrogation
abomaso;rennet-stomach
abomena;dismal, dreary, ghastly, hideous, horrible, nasty
abomenaĵo;abomination
abomeni;to abhor, abominate, loathe
abomeninda;abhorrent, abominable, alien, awful, hideous, horrible, gruesome
abomenindaĵo;abhorrence, abomination, atrocity, horror
abomeno;abhorrence, abomination, horror
abonanto;subscriber
aboni;to subscribe
abono;subscription
aborigeno;aboriginal
aborti;to abort, miscarry
abortigi;to abort
abortigisto;abortionist
abortigo;abortion
aborto;abortion
abraziiĝi;to cave in
abreviacio;abbreviation
abrikoto;apricot
abrupta;abrupt
absceso;abscess
absoluta;absolute
absolutismo;absolutism
absolvi;to absolve
absolvo;absolution
absorba;absorbent
absorbi;to absorb
absorbilo;absorbent
absorbita de;absorbed in
absorbo;absorption
abstemio;teetotalism
abstinenco;abstinence, teetotalism
abstinenculo;total abstainer
abstini;to abstain
abstrakta;abstract
abstraktaĵo;abstraction
abstrakti;to abstract
absurda;absurd
absurdaĵo, absurdeco;absurdity
abunda;abundant
abundeco;abundance
abundi;to abound
abundo;abundance, plenty
acera;maple, maple-, of a maple
acerba;acerbic, acid, harsh, sour, tart
acero;maple, sycamore
acetato;acetate
acetileno;acetylene
aceto;acetic acid
acetono;acetone
acida;acid, sour, tart
acida ĉerizo;morello
acidi;to be acid, be sour
acidiĝi;sour, grow sour, turn
acido;acid
aĉetado;acquisition, purchase
aĉetaĵo;purchase
aĉetakiri;to acquire, buy, purchase
aĉetanta regiono;market, outlet
aĉetanto;buyer, client, purchaser
aĉetebla;for sale
aĉeti;to buy, purchase
aĉeti aŭkcie;buy at a public sale
aĉeto;purchase
adapti;to accommodate, adapt, adjust, fit
adapti por orkestro;orchestrate, score
adaptigo;accommodation
adaptiĝemo;adaptability
adaptiĝi;to accomodate oneself, adapt oneself
adaptiĝo;adaptation, adjustment
adaptinto;adaptor
adapto;adaptation
adekvata;adequate
adepto;adept, supporter
adhero;adhesion
adi;to keep
adiaŭ;adieu, farewell, bye, goodbye, good-bye
adiaŭa;goodbye-
adiaŭi;to say goodbye, say goodbye to, take leave, take leave from
adiaŭo;farewell, goodbye, good-bye
adicii;to add, add up
adicio;addition
adjektiva;adjectival
adjektivo;adjective
adjunkto;assistant
adjutanto;adjutant, aide-de-camp
administra;administrative
administra jaro;financial year
administra ofico;stewardship
administracio;administration, management
administrado;administration, management
administrantaro;administration, management
administranto;manager
administri;to administer, manage
administristaro;administration, management
administristo;administrator
administro;administration, management
admira;admiring
admiralitato;admirality
admiralo;admiral
admirantino;admirer
admiranto;admirer
admiri;to admire
admirinda;admirable
admiro;admiration
admoni;to admonish, scold
admonletero;dunning-letter
admono;exhortation
adoleskantino;flapper
adoleskanto;adolescent
adoleskeco;puberty
adoleskulino;adolescent
adoleskulo;adolescent
adolto;adult
adonido;pheasant's eye
adoptado;adoption
adoptaj gepatroj;foster-parents
adopti;to adopt
adoptito;adoptive child
adopto;adoption
adoptulo;adoptive child
adorado;adoration, worship
adorantino;adorer, female adorer, worshipper, female worshipper
adoranto;worshipper
adoratino;adored one
adori;to adore, worship
adorinda;adorable
adoro;adoration, worship
adrenalino;adrenaline
adresanto;shipper, sender
adresaro;address list
adresato;addressee
adresi;to address
adresiga maŝino;addressing machine, addressograph
adresigilo;addressing machine
adresito;addressee
adreslibro;directory
adreso;address
adresŝanĝo;change of address
adstringa;tart
adulta;adulterous
adulti;commit adultery
adulto;adultery
adultulino;adulteress
adultulo;adulterer
advento;advent
adverbo;adverb
advokataĉo;pettifogger, shyster
advokato;advocate, lawyer
aera;overground, overhead
aera rezisto;air resistance
aerdefendo;air-defence, anti-aircraft defence, anti-aircraft defences
aereskadro;air squadron, air-squadron
aerfiltrilo;air filter
aerkavo;air-pocket
aerklapo;air-valve
aerklimatizita;air-conditioned
aerkuseno;air cushion
aerlinia piloto;airline pilot, airline-pilot
aermalpurigo;air-pollution
aermalsano;airsickness
aermeĥanikisto;flight engineer, flight mechanic
aero;air
aerodromo;airfield
aerohaveno;airport
aerolito;meteoric stone
aeroplano;plane, aeroplane, airplane
aerostato;balloon, air-balloon
aerpafilo;air gun, air-gun
aerpirato;skyjacker
aerponto;airlift
aerpoŝta letero;air letter, aerogramme
aerpoŝtmarko;air-mail stamp
aerpoŝto;airmail
aerpremo;air-pressure
aerstevardino;stewardess
aerŝipo;air-ship
aertubo;tube
aeruma;airy
aeruma krado;air-grid
aerumi;to air out, ventilate
aervojo;airway
afabla;affable, friendly, good-natured, kind
afableco;kindness
afablega;most charming
afazio;aphasia
afekcii;to affect
afekcio;affection
afekta;affected, artificial
afektado;affectation
afekte milda;bland, sugary
afektema;affected
afekti;to attitudinize, pose, put on airs
afekto;affectation
afektulo;attitudinizer, poseur
aferkoncerneco;relevance
afero;affair, business, business deal, case, matter
afikso;affix
afineco;affinity
afiŝi;to placard, post, post up
afiŝkolono;advertising pillar
afiŝo;notice, placard, poster
afiŝtabulo;bill-board, notice-board
afliktado;affliction, ordeal, trial
aflikti;to afflict, grieve
afliktiĝo;sadness
aflikto;affliction
aforismo;aphorism
afranki;to prepay, put on stamps
afranko;postage
afranktarifo;postal rates
afrodiziigaĵo;aphrodisiac
afusto;carriage, gun-carriage
agaca;tart
agado;action, activity
agapo;agape
agaragaro;agar, agar-agar
agariko;mushroom
agato;agate
agavo;agave
agema;active
agemo;activity
agendo;agenda, appointment book
agenteco;agency
agentejo;agency
agento;agent
agenturo;agency
agi;to act
agi laŭ;follow, observe
agita;inflammatory
agitado;commotion
agitanto;activist
agitgrupo;action committee, action group
agiti;to abet, agitate, incite, stir up
agitiĝo;commotion, agitation
agitkomisiono;action committee, action group
agito;agitation, commotion, disturbance, excitement, flutter, turmoil
agla nazo;aquiline nose
agleca nazo;aquiline nose
aglibero;elbow-room
aglido;eaglet
aglo;eagle
aglomeraĵo;agglomerate
agnoski;to acknowledge, recognize
agnosko;acknowledgement
ago;act, action
agonii;to be near death
agonio;agony, death throes
agorafobio;agoraphobia
agordi;tune
agordiĝemo;manageability, tractability
agordo;agreement
agrabla;agreeable, enjoyable, lovely, nice, pleasant
agrableco;pleasantness
agrafa fermilo;hooks and eyes
agrafi;to clasp
agrafo;clasp, hook
agrara;agricultural, farm
agregato;aggregate
agresa;aggresive
agresema;aggressive
agresi;commit aggression
agresiva;aggressive
agreso;aggression
agrikulturo;agriculture, farming, tillage
agro;field
agrokulturisto;farmer
agrokulturo;agriculture
agronomio;agriculture
agronomo;agriculturist
agropiro;couch-grass
agrostemo;corn cockle
aĝa;aged
aĝio;premium
aĝo;age
aha;aha
aĥ;ah, oh, ow
aidozo;aids
aj;ouch, ow
ajlero;garlic bulb
ajlo;garlic
ajn;at all, -ever
aĵo;thing
aĵura;open-work
akademia;academic
akademiano;academician
akademio;academy
akajunukso;cashew-nut
akapari;corner, monopolize
akaro;mite
akcelanta;accelerative
akcelanto;promotor
akceli;to accelerate, speed up
akceliĝi;to accelerate, pick up
akceliĝo;acceleration
akcelilo;accelerator, accelerator pedal
akcelo;acceleration
akcenti;to accent, accentuate, stress
akcento;accent, stress
akcentsigno;stress-mark
akceptanto;acceptor
akceptebla;acceptable
akcepti;to accept, receive, take, take in
akcepti oficiale;do the honours
akcepti solene;welcome
akcepti vizitantojn;entertain, receive
akceptigi;force
akceptigi obstine;drive through
akceptinda;acceptable
akceptindeco;susceptibility
akceptistino;receptionist
akcepto;acceptance
akceptosalono;reception room, reception-room
akceptsalono;reception room, reception-room
akcesora;accessory, secondary
akcesora fako;subsidiary subject
akcesora tono;overtone
akcesoraĵo;accessory, side-issue
akciaro;share-capital
akcidentema;accident-prone
akcidenti;to have an accident
akcidento;accident
akcidentrisko;accident risk
akcio;share
akcipitro;hawk
akciuleco;shareholdership
akciulo;shareholder
akcizo;excise, excise-duty
akeo;ai, sloth
akirado;acquisition
akiraĵo;accession, acquisition, gain
akirebla;obtainable
akiri;to acquire, attain, get, obtain
akiri pene;reclaim
akiro;accession, acquisition, asset
aklamado;acclamation
aklame;by acclamation
aklami;to acclaim, applaud
aklamo;acclaim, acclamation, approval
aklimatizi;to acclimatize
akno;pimple
akolito;acolyte
akomodi;to accomodate
akomodiĝo;accommodation
akomodo;accommodation
akompanado;accompaniment
akompanantaro;suite, train
akompanantino;chaperon, duenna
akompananto;accompanist, companian
akompani;to accompany
akompani varte;chaperon, squire
akompano;accompaniment, escort
akonito;aconite, monkshood
akorda kun;in accordance with
akordi;to agree
akordigi;to bring into agreement
akordiĝema;manageable, tractable
akordiĝi;come to an agreement
akordionisto;accordionist
akordiono;accordion
akordo;accord, agreement, chord, settlement
akoro;calamus
akra;abrasive, lurid, sharp
akra tono;tartness
akraflanka;angular, sharp-edged
akratona;abrasive, sharp-toned, shrill, snappy, tard
akreco;sharpness
akreditaĵo;credential
akrediti;to accredit
akreditivo;letter of credit
akreo;acre
akresona;shrill
akrido;grasshopper, locust
akrigi;to sharpen
akrigrimeno;strop
akro;acre
akrobata;acrobatic
akrobatado;acrobatics
akrobato;acrobat
akromatopsia;colour-blind
akronimo;acronym
akrulino;cat
akselo;armpit
aksesoraĵo;accessorie
aksingo;hub, nave
aksiomo;axiom
akso;axis, axle
aktisto;actuary
aktiva;active
aktiva voĉo;active voice
aktiveco;activity, vigour
aktivigi;to put on, start, switch on, turn on
aktivo;assets
akto;act, certificate, diploma, document
aktori;to act
aktorino;actress
aktoro;actor
aktuala;current, present, present-day, topical, up-to-date
aktualaĵo;topic
aktualeco;topicality
aktuario;actuary
aktujo;brief case, portfolio
akumulatoro;accumulator, battery, storage battery
akumuli;to accumulate, heap, pile up, stack
akumulilo;accumulator, battery, storage battery
akupunkturisto;acupuncturist
akupunkturo;acupuncture
akurata;accurate, on time, prompt, punctual
akurateco;accuracy, exactitude, precision
akustika;acoustic
akustiko;acoustics
akuŝi;to give birth, labour, be in labour
akuŝintino;lying-in woman
akuŝistino;midwife
akuŝlito;childbed
akuta;acute
akuza;accusatory
akuzaĵo;accusation, charge, complaint, indictment
akuzanto;accuser
akuzativo;accusative
akuzi;to accuse
akuzi pri;to accuse of, charge with, impeach of, indict for, tax with
akuzito;accused, defendant
akuzo;accusation
