laŭd, commend/laud
aĉet, buy
adapt, adapt
administr, administer
admir, admire
afabl, affable
agent, agent
agril, clay
akir, acquire
akompan, accompany
akv, water
anonim, anonymous
aparat, apparatus
apetit, appetite
arb, tree
arest, arrest
argil, clay
atom, atom
aŭd, hear
aŭskult, listen
aventur, adventure
banan, banana
banked, banquet
baston, stick
batal, battle
bel, beautiful
blok, block
bon, good
bret, shelf
buŝ, mouth
ĉambr, room
cerb, brain
certa, certain
ĉiz, chisel
danc, dance
dank, thank
daŭr, continue
dek, ten
detru, destroy
diferenc, difference
don, give
dorm, sleep
dub, doubt
eben, flat/even
edz, husband
egal, equal
eksplod, explode
embaras, embarass
erar, error
esper, hope
est, be
farĉ, stuffing
feliĉ, happy
fek, faecal
film, film
fil, son
fin, end
flug, fly
fluid, fluid
formik, ant
frat, brother
freŝ, fresh
frost, freeze/frost
funkci, function
garanti, guarantee
gard, guard
gast, guest
geni, genius
ĝib, hump
glat, smooth
glit, glide/slip
glu, glue
grund, ground
ĝemel, twin
glor, glory
grad, grade/degree
grand, big
ĝoj, joy
halt, halt
heĝ, hedge
hejm, home
help, help
hont, shame
ident, identity
infan, child
insist, insist
ĵaluz, jealous
kalkul, calculate
kapr, goat
kaŝ, hide
klan, clan
kokos, coconut
kok, chicken
kolekt, collect
koler, angry
kombin, combine
komenc, start
komerc, commerce
kompil, compile
komplet, complete
konserv, conserve
konsil, counsel
konstru, construct
kopi, copy
kost, cost
kovr, cover
krajon, pencil
krak, crack
kri, cry
kruĉ, pot
kulp, blame/guilt
kultur, culture
kurb, curve/bend
kur, run
kuŝ, lie/lay
laks, loose
land, country/land
larmo, tear
lern, learn
lev, raise
lez, harm
libr, book
lip, lip
lit, bed
liver, deliver
lud, play
lum, light
makul, spot
mam, breast
man, hand
mark, mark
mar, sea
mastr, master
maten, morning
melon, melon
mez, middle/average
milit, military
ministr, minister
mitul, mussel
model, model
mok, mock
mont, mountain
monument, monument
moral, moral
mord, bite
mov, move
muzik, music
najl, nail
nask, birth
naŭz, nausea
naz, nose
nest, nest
nivel, level
nokt, night
nombr, number
not, note
nov, new
numer, number
observ, observe
obskur, obscure
odor, odour
ofend, offend
okaz, occasion
ofic, office
okul, eye
ombr, shadow
ond, wave
ord, order
organ, organ
ort, ortho
origin, origin
oscil, oscillation
ost, bone
paf, shoot
pag, pay
paĝ, page
pak, pack
pan, bread
pardon, pardon
parenc, relative
parol, speak
part, part
patrol, patrol
patr, father
paŭz, pause
pend, hang
pere, perish
pesim, pessimistic
pez, weight
pian, piano
pied, foot
plaĉ, please
plant, plant
plen, full
plezur, pleasure
pluv, rain
poleks, thumb
pom, apple
poŝt, post
praktik, practice
preĝ, pray
prem, pressure
pret, ready
prez, price
produkt, product
profet, prophet
profund, deep
projekt, project
promes, promise
prosper, prosper
protest, protest
prunt, lend
pruv, prove
publik, public
puf, puff
puls, pulse
punkt, point
pur, pure
puŝ, push
rapid, fast
regul, regular
reflekt, reflect
regul, regulation
rem, row
rezerv, reserve
ribel, rebel
riĉ, rich
ruin, ruin
rul, roll
san, health
sat, hunger
seks, sex
serv, serve
simpl, simple
skatol, box
skeptik, skeptic
skrib, write
soif, thirst
somer, summer
sonĝ, dream
son, sound
spert, experience
spic, spice
spirit, spirit
spir, breath
sprit, wit
steril, sterile
stomak, stomach
strat, street
stud, studytran
suk, juice
sun, sun
surpriz, surprise
suspekt, suspect
ŝaf, sheep
ŝalt, switch on
ŝanc, chance
ŝarĝ, load/charge
ŝirm, shelter
ŝpar, spare
ŝrank, cupboard
ŝraŭb, screw
ŝton, stone
ŝvit, sweat
tag, day
taks, appraise
talent, talent
temp, time
tend, tent
terur, terror
test, test
tip, type
tint, jingle
tiran, tyrant
trankvil, tranquil
tromp, deceit
turn, turn
tut, entire
unu, one
urb, town/city
urĝ, urge
valid, valid
vapor, steam/vapour
varm, warm
vart, nurse
ventr, belly
vest, clothe/dress
vetur, ride/travel
vintr, winter
vitr, glass
vojaĝ, travel
vol, willing/want
zorg, worry
av, grandfather
ir, go
ov, egg
uz, use
