LANGUAGE=FRENCH
rouge;red
vert;green
bleu;blue
noir;black
blanc;white
jaune;yellow
Non.;No.
Je ne sais pas.;I don't know.
s'il vous plaît;please
Merci.;Thank you.
Excusez-moi.;Excuse me.
Je suis désolé.;I'm sorry., I am sorry
D'accord !;OK!, ok
De rien.;You're welcome.
Je ne comprends pas.;I don't understand.
Bonjour.;Hello, good morning, good afternoon
Salut !;Hi, bye
Rebonjour !;Hello again!
Bonsoir.;Good evening.
Bonne nuit.;Good night.
Au revoir.;Goodbye.
À bientôt.;See you soon.
À demain.;See you tomorrow.
À samedi.;See you on Saturday., see you saturday
Bonne journée !;Have a good day!, good day
Bonne soirée !;Have a good evening!, good evening
Quel âge avez-vous ?;How old are you?, What age are you?
Quelle est votre date d'anniversaire ?;When is your birthday?
J'ai … ans.;I'm … years old.
D'où venez-vous ?;Where are you from?
Où habitez-vous ?;Where do you live?
Je viens…;I'm from...
Royaume-Uni;UK, United Kingdom, United-Kingdom
J'habite à…;I live in...
écossais;Scottish
anglais;English
irlandais;Irish
gallois;Welsh
britannique;British
Êtes-vous marié ?;Are you married?
Êtes-vous mariée ?;Are you married?
Êtes-vous célibataire ?;Are you single?
Je suis célibataire.;I'm single., i am single.
le veuf;widower
la veuve;widow, guillotine
Avez-vous des enfants ?;Do you have any children?
J'ai ... enfants.;I have ... children.
Je n'ai pas d'enfants.;I don't have any children., I don't have children.
Voici mes…;These are my...
le mari;husband
l'épouse f;wife
le fils;son
la fille;daughter
les parents mpl;parents
le copain;boyfriend
la copine;girlfriend
le père;father
la mère;mother
le frère;brother
la sœur;sister
le grand-père;grandfather
la grand-mère;grandmother
le petit-fils;grandson
la petite-fille;granddaughter
le beau-père;stepfather
la belle-mère;stepmother
la belle-fille;stepdaughter
le beau-frère;stepbrother
la belle-sœur;stepsister
l'oncle m;uncle
la tante;aunt
le neveu;nephew
la nièce;niece
le bébé;baby
l'enfant m;child
Comment allez-vous;How are you?
Comment ça va ?;How's it going?
Super bien !;Great!
Comme ci comme ça.;So-so., so-so
On fait aller.;Could be worse.
Pas terrible.;Not great.
Je suis fatigué.;I'm tired., I am tired.
Je n'ai plus faim.;I'm full., I'm not hungry anymore.
J'ai froid.;I'm cold.
J'ai chaud.;I'm warm.
heureux;happy
excité;excited
calme;calm
surpris;surprised
mécontent;annoyed, unhappy
en colère;angry
triste;sad
inquiet;worried
effrayé;afraid
détendu;relaxed
Je m'ennuie.;I'm bored.
Je me sens…;I feel...
bien;well
indisposé;unwell
mieux;better
pire;worse
Où travaillez-vous ?;Where do you work?
Que faites-vous dans la vie ?;What do you do?
Quel est votre métier?;What's your occupation?, what is your job, what's your job
Je travaille à mon compte;I'm self-employed.
Je suis au chômage.;I'm unemployed.
Je suis encore à l'école;I'm still at school.
Je suis à l'université.;I'm at university., I am at university.
la retraite;retirement
Je voyage.;I'm travelling., I travel.
Je travaille de chez moi;I work from home.
l'employé de bureau;office worker
le serveur;waiter
la serveuse;waitress
la compagnie;company, airline
le chantier;construction site
l'usine f;factory
le gouvernement;government
l'hôpital m;hospital
l'hôtel m;hotel
le bureau;office, desk
l'école f;school
le matin;morning
l'après-midi m;afternoon
le soir;evening
la nuit;night
le midi;midday
