LANGUAGE=FRENCH
acheter à;to buy from
arracher à;to grab, tear away from
aller à quelqu'un;to suit someone
assister à;to attend, to be present, to witness *false friend with assist
assister à la réunion;to attend the meeting
convenir à quelqu'un;to please someone, to be suitable for someone
convenir à quelque chose;to please something, to be suitable for something *convenir à = suitable, convenir de = agree
croire à (as in belief of existence);to believe in something *no prep = fact, à = existence, en = trust/faith in
demander quelque chose à quelqu'un;to ask someone something
déplaire à;to be displeasing to *plaire always use à
désobéir à;to disobey *both désobéir and obéir use à
dire à quelqu'un (verb = dire);to say to someone, to tell someone
donner quelque chose à quelqu'un;to give someone something
échapper à;to escape from
écrire à quelqu'un;to write to someone
emprunter quelque chose à quelqu'un;to borrow something from someone
envoyer quelque chose à quelqu'un;to send something to someone
être à;to belong to
faire attention à;to pay attention to
faire confiance à quelqu'un (as in character);to trust someone
se fier à quelqu'un (as in accuracy / reliability);to trust someone
faire mal à;to hurt
faillir à;to fail in, to fall at, to fall to *with à -> fail, without -> almost do
goûter à quelque chose;to try something, to sample the taste of something *with à -> to try, without à -> to taste
goûter quelque chose;to taste something *with à -> to try, without à -> to taste
interdire quelque chose à quelqu'un;to forbid someone something
mêler à;to mingle with, to join in
nuire à;to harm
obéir à;to obey *both désobéir and obéir use à
s'opposer à;to oppose
ordonner à;to order
pardonner à;to pardon, forgive
plaire à;to please, to be pleasing to *plaire always use à
prendre à quelqu'un;to take from someone
prendre garde à;to be careful of, to watch out for, to pay attention to *followed by noun or infinitive
prendre garde de;to be careful not to *followed by infinitive only
procurer à quelqu'un;to procure for someone, to obtain for someone
promettre quelque chose à quelqu'un;to promise something to someone
promettre de x (where x is an infinitive);to promise to do x
raconter à quelqu'un (verb = raconter);to recount to someone, to tell someone
rappeler quelque chose à quelqu'un;to remind someone of something
réfléchir à (standard);to reflect upon, to consider doing, to consider
rendre visite à quelqu'un;to visit someone
répondre à;to respond to, to answer
reprocher à;to reproach, to criticize
répugner à;to feel reluctant to, to be loath to *commitment / detachment -> à
résister à;to resist, to resist doing
ressembler à;to resemble
réussir à l'examen;to pass the test
rêver à (verb = rêver, formal / literary);to imagine, to dream of *rêver/songer à = formal
rêver de (verb = rêver, standard);to dream of doing, to dream of, to desire
serrer la main à quelqu'un;to shake hands with someone
servir à (+ noun / + infinitive);to be used for, to be used as, to be useful for, to serve as
