LANGUAGE=FRENCH
je;I
a augmenté;grew, has increased, increased
a commencé;began
à partir de;from
a pris;took
à;at, to
a;has
accord;deal
acheté;bought
acheter;buy
acier;steel
acte;act
âge;age
aider;help
aile;wing
aimant;magnet
ainsi;thus
air;air
ajouter;add
alimentation;feed, food, supply
aller;go
ami;friend
amour;love
amusement;fun, amusement
animal;animal
anneau;ring
année;year
apparaître;appear
appel;call
apporté;brought
apporter;bring
apprendre;learn
après;after
arbre;tree
argent;money, silver
Arrêtez;stop
arrière;back
arriver;arrive, happen
art;art
ascenseur;lift, elevator
assez;enough, pretty
assimiler;equate
atome;atom
atteindre;reach
attendre;expect, wait, wait for, wait on
au-dessus;above
aucun;no, none
augmenter;raise, rise, increase
aussi;also, so, as
autre;else, other, another
avant;before, forward, front
avec;with
avis;notice, opinion
avoir;have
baignade;swim, bathing
balle;ball
bande;band
banque;bank
bar;bar
bas;bottom, down, low
base;base
bateau;boat
bâton;stick, baton
battre;beat
beaucoup;many, much
beauté;beauty
bébé;baby
besoin;need
bien que;though
bien;well
bientôt;soon
blanc;white
blé;corn
bleu;blue
bloc;block
bois;wood
boisson;drink
boîte;box, can
bon;good
bord;edge, border
bouche;mouth
boutique;shop
branche;branch
bras;arm
bruit;noise, sound, rumour
brûler;burn
brun;brown
bureau;office
calme;quiet, calm
camion;truck
camp;camp
canard;duck
capable;able, capable
capitaine;captain
capital;capital
capture;catch, capture
caractère;character
carré;square
carte;card, map
cas;case
cassé;broke
ce;this
célèbre;famous, celebrated
cellule;cell
cent;cent, hundred
centre;center, centre
cercle;circle
certain;certain
certains;some, certain
ces;these
ceux;those
chaîne;string, chain
chaise;chair
chaleur;heat
chambre;room, bedroom, chamber
chance;chance
changement;change
chanson;song
chanter;sing
chapeau;hat
chaque;each, every
charger;charge
chasse;hunt, chase
chat;cat
chaud;hot, warm
chaussure;shoe
chauve-souris;bat
chef;chief
chemin;path, way, road
cher;dear
cheval;horse
cheveux;hair
chien;dog
chiffre;numeral, figure, number, digit
choisir;choose, pick, select, elect
chose;thing
ciel;sky
cinq;five
clair;bright, clear
classe;class
clé;key
cloche;bell
cœur;heart
coffre-fort;safe
coin;corner
colère;anger
colline;hill
colonie;colony
colonne;column
comme;like, as
commencer;begin, start, commence
comment;how
commerce;trade, commerce
commun;common, communal, joint, shared
comparer;compare
compétence;skill, competence
complète;complete
compter;count
conception;design, conception
condition;condition
conduire;lead, drive
conseil;board, advice
conservé;kept, conserved
consonne;consonant
construire;build, construct
contenir;contain
continent;continent
continuer;continue
contre;against
contrôle;control
copie;copy
coquille;shell
corde;rope, cord
corps;body
costume;suit, costume
côte;coast
côté;side
coton;cotton
cou;neck
couleur;color, colour
coup;blow
coupe;cut
cour;yard, court
courant;current, stream
courir;run
cours;course, lesson, class
course;race, course
court;short
coût;cost
couvercle;cover
créer;create
cri;cry, shout
croire;believe
croître;grow, swell
cuisinier;cook
dame;lady, dame, queen
danger;danger
dans;in
danse;dance
de base;basic
de;of, off
débit;flow
début;start, debut
décès;death, decease
décider;decide
décimal;decimal
décrire;describe
degré;degree
dehors;out, outside, outdoors
déménagement;move
dents;teeth
dépendre;depend
depuis;since
dernier;last
derrière;behind
désert;desert
déterminer;determine
deux;two
deuxième;second
développer;develop
deviner;guess
devrait;should
dictionnaire;dictionary
différer;differ
difficile;difficult
difficulté;trouble, difficulty, problem, hardship
dire;say, tell
direct;direct
discours;speech, discourse
discuter;discuss
disparu;gone, disappeared
dit;said, told
division;division
dix;ten
doigt;finger
doit;shall, must
dollar;dollar
domaine;field, domain
donné;gave
donner;give
dont;whose
double;double
doux;gentle, soft
droit;law, right, straight, entitlement
dur;hard
eau;water
échelle;scale
éclat;shine, glow, brightness, brilliance
école;school
écouter;listen
écrire;write
écrit;written, wrote
effet;effect
égal;equal
électrique;electric
élément;element
elle;she
emploi;job, employment
en attente;held
encore;again, still, yet
énergie;energy
enfant;child, infant
enfants;children, infants
ennemi;enemy
énorme;huge, enormous
enregistrer;log, save, register, record
enseigner;teach
